SLAS241	I	09	1999	12	2008
SLAS256	D	11	1999	09	2004
SLAS272	H	07	2000	05	2018
SLAS312	C	07	2001	09	2004
SLAS340	J	05	2001	12	2008
SLAS344	G	01	2002	10	2009
SLAS361	D	01	2002	08	2004
SLAS368	G	10	2002	03	2011
SLAS380	F	04	2004	03	2022
SLAS383	E	10	2003	12	2013
SLAS396	D	07	2003	11	2016
SLAS439	F	09	2004	08	2011
SLAS455	D	03	2005	04	2007
SLAS491	I	08	2005	12	2012
SLAS504	G	07	2006	08	2012
SLAS508	K	04	2006	05	2020
SLAS518	E	08	2006	08	2011
SLAS541	M	06	2007	03	2022
SLAS545	C	05	2007	03	2011
SLAS547	I	06	2007	12	2012
SLAS554	I	05	2009	09	2018
SLAS555	B	06	2012	09	2018
SLAS556	A	07	2007	08	2007
SLAS566	G	06	2010	09	2020
SLAS578	J	11	2007	01	2012
SLAS580	E	10	2008	05	2020
SLAS584	C	10	2008	07	2010
SLAS587		02	2008	02	2008
SLAS588		02	2008	02	2008
SLAS590	P	03	2009	09	2020
SLAS614	D	09	2008	05	2011
SLAS616		07	2008	07	2008
SLAS619	R	08	2010	09	2018
SLAS626	C	10	2008	03	2011
SLAS629	B	03	2009	05	2020
SLAS639	L	07	2011	12	2017
SLAS645	L	07	2009	05	2020
SLAS648	E	04	2009	03	2011
SLAS650	G	05	2010	09	2020
SLAS655	H	01	2010	05	2021
SLAS673		09	2010	09	2010
SLAS675		10	2009	10	2009
SLAS677	G	09	2010	05	2020
SLAS678	G	08	2010	09	2020
SLAS694	J	02	2010	02	2013
SLAS695	I	02	2010	02	2013
SLAS697	E	03	2010	11	2016
SLAS700	E	10	2012	09	2020
SLAS701	B	11	2010	06	2018
SLAS703	C	04	2010	09	2020
SLAS704	G	10	2012	08	2018
SLAS706	F	07	2011	09	2018
SLAS713		06	2010	06	2010
SLAS718	H	11	2012	09	2018
SLAS720	F	08	2010	09	2020
SLAS721	F	08	2010	09	2020
SLAS722	G	12	2010	05	2013
SLAS723	H	12	2010	05	2013
SLAS731	D	12	2011	09	2018
SLAS734	G	04	2011	04	2016
SLAS735	J	04	2011	05	2013
SLAS753	E	01	2012	02	2013
SLAS768	E	09	2012	09	2018
SLAS770	B	11	2011	03	2014
SLAS774	A	07	2011	10	2011
SLAS775	E	08	2011	03	2014
SLAS787	B	11	2011	03	2014
SLAS789	D	06	2014	08	2018
SLAS797	C	08	2014	08	2018
SLAS800		03	2013	03	2013
SLAS815	D	11	2012	09	2018
SLAS824		12	2013	12	2013
SLAS862		06	2012	06	2012
SLAS863		08	2012	08	2012
SLAS865	F	10	2014	12	2021
SLAS868	A	06	2012	11	2012
SLAS874	B	05	2015	09	2020
SLAS885	A	08	2012	10	2012
SLAS887	C	09	2014	03	2021
SLAS892	C	03	2013	09	2014
SLAS897	C	09	2013	10	2020
SLAS903	D	05	2013	10	2020
SLAS913	A	07	2013	08	2013
SLAS942	E	11	2015	12	2019
SLAS954		12	2013	12	2013
SLAS966		03	2014	03	2014
SLAS967	A	01	2014	01	2014
SLAS982	A	05	2014	09	2018
SLAS983	A	05	2014	09	2018
SLAS998	A	06	2014	10	2018
SLASE23	E	01	2015	08	2018
SLASE32	C	08	2014	08	2018
SLASE33	C	08	2014	08	2018
SLASE34	E	05	2014	08	2018
SLASE35	C	05	2014	12	2017
SLASE45	E	10	2014	12	2019
SLASE46	A	02	2015	10	2018
SLASE50	A	02	2015	10	2018
SLASE54	D	03	2016	01	2021
SLASE58	E	02	2016	12	2019
SLASE59	F	10	2015	12	2019
SLASE66	C	04	2015	08	2018
SLASE78	E	08	2016	06	2021
SLASEB7	D	06	2017	12	2020
SLASEC3	A	08	2016	08	2016
SLASEC4	D	05	2018	12	2019
SLASEC9		04	2017	04	2017
SLASEE4	C	01	2018	12	2019
SLASEE5	D	01	2018	01	2021
SLASEF5	B	01	2019	12	2021
SLASEK0	A	12	2017	03	2018
SLASEO5	D	03	2019	09	2021
SLASEO7	C	03	2019	09	2021
SLASEU5	A	10	2019	02	2021
SLASEV3	A	03	2020	12	2020
SLVSCN6	A	11	2014	12	2014
