Product or Part number	Frequency (MHz)	Nonvolatile memory (kByte)	RAM (kByte)	ADC type	Number of ADC channels	Number of GPIOs	UART	USB	Number of I2Cs	SPI	Number of comparator channels	Timers - 16-bit	Bootloader (BSL)	Special I/O	Operating temperature range (°C)	Price|Quantity (USD)	Package type	Pin count	Package area (mm^2)	Package size (L x W) (mm)	Features
MSP430F156	8.00	24.00	1.00	12-bit SAR	8	48	1	No	1	1	2	2	UART		-40 to 85	6.34	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	Brown out detector,DAC,DMA
MSP430F157	8.00	32.00	1.00	12-bit SAR	8	48	1	No	1	1	2	2	UART		-40 to 85	6.34	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	Brown out detector,DAC,DMA
MSP430F1610	8.00	32.00	5.00	12-bit SAR	8	48	2	No	1	2	2	2	UART		-40 to 85	8.32	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	Brown out detector,DAC,DMA
MSP430F1611	8.00	48.00	10.00	12-bit SAR	8	48	2	No	1	2	2	2	UART		-40 to 85	9.58	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	Brown out detector,DAC,DMA
MSP430F1612	8.00	55.00	5.00	12-bit SAR	8	48	2	No	1	2	2	2	UART		-40 to 85	9.58	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	Brown out detector,DAC,DMA
MSP430F167	8.00	32.00	1.00	12-bit SAR	8	48	2	No	1	2	2	2	UART		-40 to 85	6.34	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	Brown out detector,DAC,DMA
MSP430F168	8.00	48.00	2.00	12-bit SAR	8	48	2	No	1	2	2	2	UART		-40 to 85	6.86	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	Brown out detector,DAC,DMA
MSP430F169	8.00	60.00	2.00	12-bit SAR	8	48	2	No	1	2	2	2	UART		-40 to 85	7.07	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	Brown out detector,DAC,DMA
MSP430F2001	16.00	1.00	0.13	Slope	0	10	0	No	0	0	6	1	UART		-40 to 105	0.52	PDIP,TSSOP,VQFN	14,16	16,32,181.42	19.3 x 9.4,4 x 4,5 x 6.4	Brown out detector,Real-time clock,Sigma delta
MSP430F2002	16.00	1.00	0.13	10-bit SAR	8	10	0	No	1	1	0	1	UART		-40 to 105	0.72	PDIP,TSSOP,VQFN	14,16	16,32,181.42	19.3 x 9.4,4 x 4,5 x 6.4	Brown out detector,Real-time clock,Sigma delta
MSP430F2003	16.00	1.00	0.13	16-bit Sigma Delta	4	10	0	No	1	1	0	1	UART		-40 to 105	0.98	PDIP,TSSOP,VQFN	14,16	16,32,181.42	19.3 x 9.4,4 x 4,5 x 6.4	Brown out detector,Real-time clock,Sigma delta
MSP430F2011	16.00	2.00	0.13	Slope	0	10	0	No	0	0	6	1	UART		-40 to 105	0.64	PDIP,TSSOP,VQFN	14,16	16,32,181.42	19.3 x 9.4,4 x 4,5 x 6.4	Brown out detector,Real-time clock,Sigma delta
MSP430F2012	16.00	2.00	0.13	10-bit SAR	8	10	0	No	1	1	0	1	UART		-40 to 105	0.90	PDIP,TSSOP,VQFN	14,16	16,32,181.42	19.3 x 9.4,4 x 4,5 x 6.4	Brown out detector,Real-time clock,Sigma delta
MSP430F2013	16.00	2.00	0.13	16-bit Sigma Delta	4	10	0	No	1	1	0	1	UART		-40 to 105	1.22	PDIP,TSSOP,VQFN	14,16	16,32,181.42	19.3 x 9.4,4 x 4,5 x 6.4	Brown out detector,Real-time clock,Sigma delta
MSP430F2013-EP	16.00	2.00	0.13	16-bit Sigma Delta	4	10	0	No	1	1	0	1	UART		-40 to 125	4.07	VQFN	16	16	4 x 4	Brown out detector,Real-time clock,Sigma delta
MSP430F2101	16.00	1.00	0.13	Slope	0	16	0	No	0	0	6	1	UART		-40 to 105	0.63	SOIC,TSSOP,TVSOP,VQFN	20,24	16,32,41.6,131.84	12.8 x 10.3,4 x 4,5 x 6.4,6.5 x 6.4	Brown out detector,Real-time clock
MSP430F2111	16.00	2.00	0.13	Slope	0	16	0	No	0	0	6	1	UART		-40 to 105	0.73	SOIC,TSSOP,TVSOP,VQFN	20,24	16,32,41.6,131.84	12.8 x 10.3,4 x 4,5 x 6.4,6.5 x 6.4	Brown out detector,Real-time clock
MSP430F2112	16.00	2.00	0.25	10-bit SAR	8	24	1	No	1	2	8	2	UART		-40 to 105	1.00	TSSOP,VQFN	28,32	25,62.08	5 x 5,9.7 x 6.4	Brown out detector,Real-time clock
MSP430F2121	16.00	4.00	0.25	Slope	0	16	0	No	0	0	6	1	UART		-40 to 105	0.79	SOIC,TSSOP,TVSOP,VQFN	20,24	16,32,41.6,131.84	12.8 x 10.3,4 x 4,5 x 6.4,6.5 x 6.4	Brown out detector,Real-time clock
MSP430F2122	16.00	4.00	0.50	10-bit SAR	8	24	1	No	1	2	8	2	UART		-40 to 105	1.62	TSSOP,VQFN,WQFN	28,32	25,62.08	5 x 5,9.7 x 6.4	Brown out detector,Real-time clock
MSP430F2131	16.00	8.00	0.25	Slope	0	16	0	No	0	0	6	1	UART		-40 to 105	1.13	SOIC,TSSOP,TVSOP,VQFN	20,24	16,32,41.6,131.84	12.8 x 10.3,4 x 4,5 x 6.4,6.5 x 6.4	Brown out detector,Real-time clock
MSP430F2132	16.00	8.00	0.50	10-bit SAR	8	24	1	No	1	2	8	2	UART		-40 to 105	1.74	TSSOP,VQFN,WQFN	28,32	25,62.08	5 x 5,9.7 x 6.4	Brown out detector,Real-time clock
MSP430F2132-EP	16.00	8.00	0.50	10-bit SAR	8	24	1	No	1	2	8	2	UART		-40 to 125	4.44	VQFN	32	25	5 x 5	Brown out reset,Temp sensor,Watchdog timer
MSP430F2232	16.00	8.00	0.50	10-bit SAR	12	32	1	No	1	1	0	2	UART		-40 to 105	1.58	TSSOP,VQFN	38,40	36,101.25	12.5 x 8.1,6 x 6	Brown out detector,Real-time clock
MSP430F2234	16.00	8.00	0.50	10-bit SAR	12	32	1	No	1	1	0	2	UART		-40 to 105	1.84	TSSOP,VQFN	38,40	36,101.25	12.5 x 8.1,6 x 6	OpAmp
MSP430F2252	16.00	16.00	0.50	10-bit SAR	12	32	1	No	1	1	0	2	UART		-40 to 105	2.03	DSBGA,TSSOP,VQFN	38,40,49	9,36,101.25	12.5 x 8.1,3 x 3,6 x 6	OpAmp
MSP430F2252-Q1	16.00	16.00	0.50	10-bit SAR	12		1	No	1	2	0	2	UART		-40 to 105	2.55	VQFN	40	36	6 x 6	OpAmp
MSP430F2254	16.00	16.00	0.50	10-bit SAR	12	32	1	No	1	1	0	2	UART		-40 to 105	2.41	TSSOP,VQFN	38,40	36,101.25	12.5 x 8.1,6 x 6	OpAmp
MSP430F2272	16.00	32.00	1.00	10-bit SAR	12	32	1	No	1	1	0	2	UART		-40 to 105	2.33	DSBGA,TSSOP,VQFN	38,40,49	9,36,101.25	12.5 x 8.1,3 x 3,6 x 6	OpAmp
MSP430F2272-Q1	16.00	32.00	1.00	10-bit SAR	12		1	No	1	2	0	2	UART		-40 to 105	2.62	VQFN	40	36	6 x 6	OpAmp
MSP430F2274	16.00	32.00	1.00	10-bit SAR	12	32	1	No	1	1	0	2	UART		-40 to 105	2.20	DSBGA,TSSOP,VQFN	38,40,49	9,36,101.25	12.5 x 8.1,3 x 3,6 x 6	OpAmp
MSP430F2274-EP	16.00	32.00	1.00	10-bit SAR	12	32	1	No	1	1	0	2	UART		-55 to 125	7.19	TSSOP,VQFN	38,40	36,101.25	12.5 x 8.1,6 x 6	OpAmp
MSP430F233	16.00	8.00	1.00	12-bit SAR	8	48	1	No	1	1	8	2	UART		-40 to 105	2.20	LQFP,VQFN	64	81,144	12 x 12,9 x 9	Bootstrap loader,Brown out detector
MSP430F2330	16.00	8.00	1.00	Slope	0	32	1	No	1	1	8	2	UART		-40 to 105	2.70	VQFN	40	36	6 x 6	Bootstrap loader,Brown out detector
MSP430F235	16.00	16.00	2.00	12-bit SAR	8	48	1	No	1	1	8	2	UART		-40 to 105	2.87	LQFP,VQFN	64	81,144	12 x 12,9 x 9	Bootstrap loader,Brown out detector
MSP430F2350	16.00	16.00	2.00	Slope	0	32	1	No	1	1	8	2	UART		-40 to 105	2.75	VQFN	40	36	6 x 6	Bootstrap loader,Brown out detector
MSP430F2370	16.00	32.00	2.00	Slope	0	32	1	No	1	1	8	2	UART		-40 to 105	2.27	VQFN	40	36	6 x 6	Bootstrap loader,Brown out detector
MSP430F2410	16.00	56.00	4.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	5.34	LQFP,VQFN	64	81,144	12 x 12,9 x 9	Bootstrap loader,Brown out detector
MSP430F2416	16.00	92.00	4.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	4.98	JRBGA,LQFP,NFBGA	64,80,113	49,144,196	12 x 12,14 x 14,7 x 7	Bootstrap loader,Brown out detector,DMA
MSP430F2417	16.00	92.00	8.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	3.80	JRBGA,LQFP,NFBGA	64,80,113	49,144,196	12 x 12,14 x 14,7 x 7	Bootstrap loader,Brown out detector,DMA
MSP430F2418	16.00	116.00	8.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	5.32	LQFP,NFBGA	64,80,113	49,144,196	12 x 12,14 x 14,7 x 7	Bootstrap loader,Brown out detector,DMA
MSP430F2419	16.00	120.00	4.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	5.60	JRBGA,LQFP	64,80,113	49,144,196	12 x 12,14 x 14,7 x 7	Bootstrap loader,Brown out detector,DMA
MSP430F247	16.00	32.00	4.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	3.19	LQFP,VQFN	64	81,144	12 x 12,9 x 9	Bootstrap loader,Brown out detector
MSP430F2471	16.00	32.00	4.00	Slope	0	48	2	No	2	2	8	2	UART		-40 to 105	3.22	LQFP,VQFN	64	81,144	12 x 12,9 x 9	Bootstrap loader,Brown out detector
MSP430F248	16.00	48.00	4.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	3.96	LQFP,VQFN	64	81,144	12 x 12,9 x 9	Bootstrap loader,Brown out detector
MSP430F2481	16.00	48.00	4.00	Slope	0	48	2	No	2	2	8	2	UART		-40 to 105	3.48	LQFP,VQFN	64	81,144	12 x 12,9 x 9	Bootstrap loader,Brown out detector
MSP430F249	16.00	60.00	2.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	3.30	LQFP,VQFN	64	81,144	12 x 12,9 x 9	Bootstrap loader,Brown out detector
MSP430F249-EP	16.00	60.00	2.00	12-bit SAR	8	48	2	No	4	2	8	2	UART		-55 to 125	10.03	LQFP	64	144	12 x 12	Bootstrap loader,Brown out detector
MSP430F2491	16.00	60.00	2.00	Slope	0	48	2	No	2	2	8	2	UART		-40 to 105	4.56	LQFP,VQFN	64	81,144	12 x 12,9 x 9	Bootstrap loader,Brown out detector
MSP430F2616	16.00	92.00	4.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	5.14	JRBGA,LQFP,NFBGA	64,80,113	49,144,196	12 x 12,14 x 14,7 x 7	DMA
MSP430F2617	16.00	92.00	8.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	7.03	JRBGA,LQFP,NFBGA	64,80,113	49,144,196	12 x 12,14 x 14,7 x 7	DMA
MSP430F2618	16.00	116.00	8.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	7.38	LQFP,NFBGA	64,80,113	49,144,196	12 x 12,14 x 14,7 x 7	DMA
MSP430F2619	16.00	120.00	4.00	12-bit SAR	8	48	2	No	2	2	8	2	UART		-40 to 105	5.46	JRBGA,LQFP,NFBGA	64,80,113	49,144,196	12 x 12,14 x 14,7 x 7	DMA
MSP430F2619S-HT	16.00	120.00	4.00	12-bit SAR	8	48	2	No	2	4	8	2	UART		-55 to 150	66.00	DIESALE,LQFP	0,64	144,See data sheet	12 x 12,See data sheet	DAC
MSP430F412	8.00	4.00	0.25	Slope	0	48	0	No	0	0	2	1	UART		-40 to 85	1.24	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	LCD
MSP430F413	8.00	8.00	0.25	Slope	0	48	0	No	0	0	2	1	UART		-40 to 85	1.42	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	LCD
MSP430F4132	8.00	8.00	0.50	10-bit SAR	8	56	1	No	1	1	2	2	UART		-40 to 85	1.44	LQFP,VQFN	48,64	49,144	12 x 12,7 x 7	LCD,Real-time clock
MSP430F415	8.00	16.00	0.50	Slope	0	48	0	No	0	0	2	2	UART		-40 to 85	1.74	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	LCD
MSP430F4152	8.00	16.00	0.50	10-bit SAR	8	56	1	No	1	1	2	2	UART		-40 to 85	1.73	LQFP,VQFN	48,64	49,144	12 x 12,7 x 7	LCD,Real-time clock
MSP430F417	8.00	32.00	1.00	Slope	0	48	0	No	0	0	2	2	UART		-40 to 85	2.06	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	LCD
MSP430F423A	8.00	8.00	0.25	16-bit Sigma Delta	3	14	1	No	0	1	0	1	UART		-40 to 85	1.93	LQFP	64	144	12 x 12	Advanced sensing,LCD
MSP430F4250	8.00	16.00	0.25	16-bit Sigma Delta	5	32	0	No	0	0	0	1	UART		-40 to 85	2.55	SSOP,VQFN	48	49,164.358	15.88 x 10.35,7 x 7	DAC,LCD
MSP430F425A	8.00	16.00	0.50	16-bit Sigma Delta	3	14	1	No	0	1	0	1	UART		-40 to 85	2.41	LQFP	64	144	12 x 12	Advanced sensing,LCD
MSP430F4260	8.00	24.00	0.25	16-bit Sigma Delta	5	32	0	No	0	0	0	1	UART		-40 to 85	2.91	SSOP,VQFN	48	49,164.358	15.88 x 10.35,7 x 7	DAC,LCD
MSP430F4270	8.00	32.00	0.25	16-bit Sigma Delta	5	32	0	No	0	0	0	1	UART		-40 to 85	3.27	SSOP,VQFN	48	49,164.358	15.88 x 10.35,7 x 7	DAC,LCD
MSP430F427A	8.00	32.00	1.00	16-bit Sigma Delta	3	14	1	No	0	1	0	1	UART		-40 to 85	2.63	LQFP	64	144	12 x 12	Advanced sensing,LCD
MSP430F435	8.00	16.00	0.50	12-bit SAR	8	48	1	No	0	1	2	2	UART		-40 to 85	3.38	LQFP	80,100	196,256	14 x 14,16 x 16	LCD
MSP430F4351	8.00	16.00	0.50	Slope	0	48	1	No	0	1	2	2	UART		-40 to 85	3.28	LQFP	80,100	196,256	14 x 14,16 x 16	LCD
MSP430F436	8.00	24.00	1.00	12-bit SAR	8	48	1	No	0	1	2	2	UART		-40 to 85	3.87	LQFP	80,100	196,256	14 x 14,16 x 16	LCD
MSP430F4361	8.00	24.00	1.00	Slope	0	48	1	No	0	1	2	2	UART		-40 to 85	3.58	LQFP	80,100	196,256	14 x 14,16 x 16	LCD
MSP430F437	8.00	32.00	1.00	12-bit SAR	8	48	1	No	0	1	2	2	UART		-40 to 85	5.24	LQFP	80,100	196,256	14 x 14,16 x 16	LCD
MSP430F4371	8.00	32.00	1.00	Slope	0	48	1	No	0	1	2	2	UART		-40 to 85	2.98	LQFP	80,100	196,256	14 x 14,16 x 16	LCD
MSP430F438	8.00	48.00	2.00	12-bit SAR	12	48	1	No	0	1	2	2	UART		-40 to 85	4.78	LQFP	80	196	14 x 14	LCD
MSP430F439	8.00	60.00	2.00	12-bit SAR	12	48	1	No	0	1	2	2	UART		-40 to 85	4.96	LQFP	80	196	14 x 14	LCD
MSP430F447	8.00	32.00	1.00	12-bit SAR	8	48	2	No	0	2	2	2	UART		-40 to 85	5.04	LQFP	100	256	16 x 16	LCD
MSP430F448	8.00	48.00	2.00	12-bit SAR	8	48	2	No	0	2	2	2	UART		-40 to 85	4.85	LQFP	100	256	16 x 16	LCD
MSP430F4481	8.00	48.00	2.00	Slope	0	48	2	No	0	2	2	2	UART		-40 to 85	4.70	LQFP	100	256	16 x 16	LCD
MSP430F449	8.00	60.00	2.00	12-bit SAR	8	48	2	No	0	2	2	2	UART		-40 to 85	4.83	LQFP	100	256	16 x 16	LCD
MSP430F4491	8.00	60.00	2.00	Slope	0	48	2	No	0	2	2	2	UART		-40 to 85	5.36	LQFP	100	256	16 x 16	LCD
MSP430F4616	8.00	92.00	4.00	12-bit SAR	12	80	1	No	1	1	2	2	UART		-40 to 85	5.08	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F46161	8.00	92.00	4.00	Slope	0	80	1	No	1	1	2	2	UART		-40 to 85	5.08	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F4617	8.00	92.00	8.00	12-bit SAR	12	80	1	No	1	1	2	2	UART		-40 to 85	5.67	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F46171	8.00	92.00	8.00	Slope	0	80	1	No	1	1	2	2	UART		-40 to 85	5.67	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F4618	8.00	116.00	8.00	12-bit SAR	12	80	1	No	1	1	2	2	UART		-40 to 85	5.91	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F46181	8.00	116.00	8.00	Slope	0	80	1	No	1	1	2	2	UART		-40 to 85	5.91	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F4619	8.00	120.00	4.00	12-bit SAR	12	80	1	No	1	1	2	2	UART		-40 to 85	5.37	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F46191	8.00	120.00	4.00	Slope	0	80	1	No	1	1	2	2	UART		-40 to 85	5.91	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F47126	16.00	56.00	4.00	16-bit Sigma Delta	6	72	2	No	2	2	2	2	UART		-40 to 85	3.95	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
