Product or Part number	Frequency (MHz)	Nonvolatile memory (kByte)	RAM (kByte)	ADC type	Number of ADC channels	Number of GPIOs	UART	USB	Number of I2Cs	SPI	Number of comparator channels	Timers - 16-bit	Bootloader (BSL)	Special I/O	Operating temperature range (°C)	Price|Quantity (USD)	Package type	Pin count	Package area (mm^2)	Package size (L x W) (mm)	Features
MSP430F479	8.00	60.00	2.00	16-bit Sigma Delta	5	48	1	No	1	2	2	2	UART		-40 to 85	5.17	JRBGA,LQFP,NFBGA	80,113	49,196	14 x 14,7 x 7	Advanced sensing,DAC,LCD,Real-time clock
MSP430F4793	16.00	60.00	2.50	16-bit Sigma Delta	3	72	2	No	2	2	2	2	UART		-40 to 85	4.25	LQFP	100	256	16 x 16	Advanced sensing,LCD
MSP430F4794	16.00	60.00	2.50	16-bit Sigma Delta	4	72	2	No	2	2	2	2	UART		-40 to 85	4.25	LQFP	100	256	16 x 16	Advanced sensing,LCD
MSP430F5131	25.00	8.00	1.00	Slope	0	31	1	No	1	2	16	3	UART	5V Tolerant I/O	-40 to 85	1.01	DSBGA,TSSOP,WQFN	38,40	7.8,25,101.25	12.5 x 8.1,2.6 x 3,5 x 5	32-bit hardware multiplier,5-V-tolerant I/Os
MSP430F5132	25.00	8.00	1.00	10-bit SAR	9	31	1	No	1	2	16	3	UART	5V Tolerant I/O	-40 to 85	1.01	DSBGA,TSSOP,WQFN	38,40	7.8,25,101.25	12.5 x 8.1,2.6 x 3,5 x 5	32-bit hardware multiplier,5-V-tolerant I/Os
MSP430F5151	25.00	16.00	2.00	Slope	0	31	1	No	1	2	16	3	UART	5V Tolerant I/O	-40 to 85	1.40	DSBGA,TSSOP,WQFN	38,40	7.8,25,101.25	12.5 x 8.1,2.6 x 3,5 x 5	32-bit hardware multiplier,5-V-tolerant I/Os
MSP430F5152	25.00	16.00	2.00	10-bit SAR	9	31	1	No	1	2	16	3	UART	5V Tolerant I/O	-40 to 85	1.40	DSBGA,TSSOP,WQFN	38,40	7.8,25,101.25	12.5 x 8.1,2.6 x 3,5 x 5	32-bit hardware multiplier,5-V-tolerant I/Os
MSP430F5171	25.00	32.00	2.00	Slope	0	31	1	No	1	2	16	3	UART	5V Tolerant I/O	-40 to 85	1.51	DSBGA,TSSOP,WQFN	38,40	7.8,25,101.25	12.5 x 8.1,2.6 x 3,5 x 5	32-bit hardware multiplier,5-V-tolerant I/Os
MSP430F5172	25.00	32.00	2.00	10-bit SAR	9	31	1	No	1	2	16	3	UART	5V Tolerant I/O	-40 to 85	1.51	DSBGA,TSSOP,WQFN	38,40	7.8,25,101.25	12.5 x 8.1,2.6 x 3,5 x 5	32-bit hardware multiplier,5-V-tolerant I/Os
MSP430F5212	25.00	64.00	8.00	Slope	0	37	2	No	2	4	6	4	UART	1.8V I/O	-40 to 85	2.09	VQFN	48	49	7 x 7	Real-time clock
MSP430F5214	25.00	128.00	8.00	Slope	0	37	2	No	2	4	6	4	UART	1.8V I/O	-40 to 85	2.34	VQFN	48	49	7 x 7	Real-time clock
MSP430F5217	25.00	64.00	8.00	Slope	0	53	2	No	2	4	8	4	UART	1.8V I/O	-40 to 85	1.75	DSBGA,VQFN	64	12.96,81	3.6 x 3.6,9 x 9	Real-time clock
MSP430F5219	25.00	128.00	8.00	Slope	0	53	2	No	2	4	8	4	UART	1.8V I/O	-40 to 85	2.85	DSBGA	64	12.96	3.6 x 3.6	Real-time clock
MSP430F5222	25.00	64.00	8.00	10-bit SAR	8	37	2	No	2	4	6	4	UART	1.8V I/O	-40 to 85	1.73	VQFN	48	49	7 x 7	Real-time clock
MSP430F5224	25.00	128.00	8.00	10-bit SAR	8	37	2	No	2	4	6	4	UART	1.8V I/O	-40 to 85	2.34	VQFN	48	49	7 x 7	Real-time clock
MSP430F5229	25.00	128.00	8.00	10-bit SAR	10	53	2	No	2	4	8	4	UART	1.8V I/O	-40 to 85	2.37	DSBGA,JRBGA,VQFN	64,80	12.96,25,81	3.6 x 3.6,5 x 5,9 x 9	Real-time clock
MSP430F5232	25.00	64.00	8.00	Slope	0	37	2	No	2	4	6	4	UART		-40 to 85	1.55	VQFN	48	49	7 x 7	Real-time clock
MSP430F5234	25.00	128.00	8.00	Slope	0	37	2	No	2	4	6	4	UART		-40 to 85	2.12	VQFN	48	49	7 x 7	Real-time clock
MSP430F5237	25.00	64.00	8.00	Slope	0	53	2	No	2	4	8	4	UART		-40 to 85	1.75	VQFN	64	81	9 x 9	Real-time clock
MSP430F5239	25.00	128.00	8.00	Slope	0	53	2	No	2	4	8	4	UART		-40 to 85	1.98	VQFN	64	81	9 x 9	Real-time clock
MSP430F5242	25.00	64.00	8.00	10-bit SAR	8	37	2	No	2	4	6	4	UART		-40 to 85	1.69	VQFN	48	49	7 x 7	Real-time clock
MSP430F5244	25.00	128.00	8.00	10-bit SAR	8	37	2	No	2	4	6	4	UART		-40 to 85	2.07	VQFN	48	49	7 x 7	Real-time clock
MSP430F5247	25.00	64.00	8.00	10-bit SAR	10	53	2	No	2	4	8	4	UART		-40 to 85	1.74	VQFN	64	81	9 x 9	Real-time clock
MSP430F5249	25.00	128.00	8.00	10-bit SAR	10	53	2	No	2	4	8	4	UART		-40 to 85	2.12	JRBGA,VQFN	64,80	25,81	5 x 5,9 x 9	Real-time clock
MSP430F5252	25.00	128.00	16.00	Slope	0	53	4	No	4	8	8	4	UART	1.8V I/O	-40 to 85	2.37	VQFN	64	81	9 x 9	Real-time clock
MSP430F5253	25.00	128.00	16.00	10-bit SAR	10	53	4	No	4	8	8	4	UART	1.8V I/O	-40 to 85	2.37	VQFN	64	81	9 x 9	Real-time clock
MSP430F5254	25.00	128.00	32.00	Slope	0	53	4	No	4	8	8	4	UART	1.8V I/O	-40 to 85	2.37	VQFN	64	81	9 x 9	Real-time clock
MSP430F5255	25.00	128.00	32.00	10-bit SAR	10	53	4	No	4	8	8	4	UART	1.8V I/O	-40 to 85	2.37	JRBGA,VQFN	64,80	25,81	5 x 5,9 x 9	Real-time clock
MSP430F5256	25.00	128.00	16.00	Slope	0	53	4	No	4	8	8	4	I2C	1.8V I/O	-40 to 85	2.37	VQFN	64	81	9 x 9	Real-time clock
MSP430F5257	25.00	128.00	16.00	10-bit SAR	10	53	4	No	4	8	8	4	I2C	1.8V I/O	-40 to 85	2.03	VQFN	64	81	9 x 9	Real-time clock
MSP430F5258	25.00	128.00	32.00	Slope	0	53	4	No	4	8	8	4	I2C	1.8V I/O	-40 to 85	2.37	VQFN	64	81	9 x 9	Real-time clock
MSP430F5259	25.00	128.00	32.00	10-bit SAR	10	53	4	No	4	8	8	4	I2C	1.8V I/O	-40 to 85	2.37	JRBGA,VQFN	64,80	25,81	5 x 5,9 x 9	Real-time clock
MSP430F5304	25.00	8.00	6.00	10-bit SAR	6	31	1	No	1	2	0	4	UART		-40 to 85	0.95	LQFP,VQFN	48	49,81	7 x 7,9 x 9	Real-time clock
MSP430F5308	25.00	16.00	6.00	10-bit SAR	10	47	2	No	2	4	8	4	UART		-40 to 85	1.31	LQFP,NFBGA,VQFN	48,64,80	25,49,81	5 x 5,7 x 7,9 x 9	Real-time clock
MSP430F5309	25.00	24.00	6.00	10-bit SAR	10	47	2	No	2	4	8	4	UART		-40 to 85	1.39	LQFP,NFBGA,VQFN	48,64,80	25,49,81	5 x 5,7 x 7,9 x 9	Real-time clock
MSP430F5310	25.00	32.00	6.00	10-bit SAR	10	47	2	No	2	4	8	4	UART		-40 to 85	1.40	JRBGA,LQFP,NFBGA,VQFN	48,64,80	25,49,81	5 x 5,7 x 7,9 x 9	Real-time clock
MSP430F5324	25.00	64.00	6.00	12-bit SAR	10	47	2	No	2	4	8	4	UART		-40 to 85	2.09	NFBGA,VQFN	64,80	25,81	5 x 5,9 x 9	Real-time clock
MSP430F5325	25.00	64.00	6.00	12-bit SAR	14	63	2	No	2	4	12	4	UART		-40 to 85	2.09	LQFP	80	196	14 x 14	Real-time clock
MSP430F5326	25.00	96.00	8.00	12-bit SAR	10	47	2	No	2	4	8	4	UART		-40 to 85	2.71	NFBGA,VQFN	64,80	25,81	5 x 5,9 x 9	Real-time clock
MSP430F5327	25.00	96.00	8.00	12-bit SAR	14	63	2	No	2	4	12	4	UART		-40 to 85	2.77	LQFP	80	196	14 x 14	Real-time clock
MSP430F5328	25.00	128.00	10.00	12-bit SAR	10	47	2	No	2	4	8	4	UART		-40 to 85	2.34	NFBGA,VQFN	64,80	25,81	5 x 5,9 x 9	Real-time clock
MSP430F5328-EP	25.00	128.00	10.00	12-bit SAR	10	47	2	No	2	2	8	4	UART		-40 to 105	6.84	VQFN	64	81	9 x 9	Brown out reset,IrDA,Real-time clock,Temp sensor,Watchdog timer
MSP430F5329	25.00	128.00	10.00	12-bit SAR	14	63	2	No	2	4	12	4	UART		-40 to 85	2.81	LQFP	80	196	14 x 14	Real-time clock
MSP430F5333	20.00	128.00	10.00	12-bit SAR	12	74	2	No	2	4	12	4	UART		-40 to 85	3.13	LQFP	100	256	16 x 16	Real-time clock
MSP430F5335	20.00	256.00	18.00	12-bit SAR	12	74	2	No	2	4	12	4	UART		-40 to 85	3.72	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	Real-time clock
MSP430F5336	20.00	128.00	18.00	12-bit SAR	12	74	2	No	2	4	12	4	UART		-40 to 85	2.72	LQFP	100	256	16 x 16	DAC,Real-time clock
MSP430F5338	20.00	256.00	18.00	12-bit SAR	12	74	2	No	2	4	12	4	UART		-40 to 85	3.44	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	DAC,Real-time clock
MSP430F5340	25.00	64.00	6.00	12-bit SAR	7	38	2	No	2	4	5	4	UART		-40 to 85	2.16	VQFN	48	49	7 x 7	Real-time clock
MSP430F5341	25.00	96.00	8.00	12-bit SAR	7	38	2	No	2	4	5	4	UART		-40 to 85	2.75	VQFN	48	49	7 x 7	Real-time clock
MSP430F5342	25.00	128.00	10.00	12-bit SAR	7	38	2	No	2	4	5	4	UART		-40 to 85	2.49	VQFN	48	49	7 x 7	Real-time clock
MSP430F5358	20.00	384.00	34.00	12-bit SAR	12	74	3	No	3	6	12	4	UART		-40 to 85	4.30	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	DAC,Real-time clock
MSP430F5359	20.00	512.00	66.00	12-bit SAR	12	74	3	No	3	6	12	4	UART		-40 to 85	5.14	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	DAC,Real-time clock
MSP430F5418A	25.00	128.00	16.00	12-bit SAR	14	67	2	No	4	4	0	3	UART		-40 to 85	2.66	LQFP	80	196	14 x 14	Real-time clock
MSP430F5419A	25.00	128.00	16.00	12-bit SAR	14	87	4	No	4	8	0	3	UART		-40 to 85	2.77	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	Real-time clock
MSP430F5435A	25.00	192.00	16.00	12-bit SAR	14	67	2	No	4	4	0	3	UART		-40 to 85	4.00	LQFP	80	196	14 x 14	Real-time clock
MSP430F5436A	25.00	192.00	16.00	12-bit SAR	14	87	4	No	4	8	0	3	UART		-40 to 85	3.16	JRBGA,LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	Real-time clock
MSP430F5437A	25.00	256.00	16.00	12-bit SAR	14	67	2	No	2	4	0	3	UART		-40 to 85	3.55	LQFP	80	196	14 x 14	Real-time clock
MSP430F5438A	25.00	256.00	16.00	12-bit SAR	14	87	4	No	4	8	0	3	UART		-40 to 85	3.60	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	Real-time clock
MSP430F5438A-EP	25.00	256.00	16.00	12-bit SAR	14	87	4	No	4	8	0	3	UART		-55 to 125	7.68	LQFP	100	256	16 x 16	Brown out reset,IrDA,Real-time clock,Temp sensor,Watchdog timer
MSP430F5438A-ET	25.00	256.00	16.00	12-bit SAR			4		4	8	0	3	UART		-55 to 125	4.15	NFBGA	113	49	7 x 7	Real-time clock
MSP430F5500	25.00	8.00	4.00	Slope	0	31	1	Yes	1	2	4	4	USB		-40 to 85	1.00	VQFN	48	49	7 x 7	Real-time clock
MSP430F5501	25.00	16.00	4.00	Slope	0	31	1	Yes	1	2	4	4	USB		-40 to 85	1.36	VQFN	48	49	7 x 7	Real-time clock
MSP430F5502	25.00	24.00	4.00	Slope	0	31	1	Yes	1	2	4	4	USB		-40 to 85	1.46	VQFN	48	49	7 x 7	Real-time clock
MSP430F5503	25.00	32.00	4.00	Slope	0	31	1	Yes	1	2	4	4	USB		-40 to 85	1.46	VQFN	48	49	7 x 7	Real-time clock
MSP430F5504	25.00	8.00	4.00	10-bit SAR	6	31	1	Yes	1	2	0	4	USB		-40 to 85	1.00	LQFP,VQFN	48	49,81	7 x 7,9 x 9	Real-time clock
MSP430F5505	25.00	16.00	4.00	10-bit SAR	6	31	1	Yes	1	2	0	4	USB		-40 to 85	1.36	VQFN	48	49	7 x 7	Real-time clock
MSP430F5506	25.00	24.00	4.00	10-bit SAR	6	31	1	Yes	1	2	0	4	USB		-40 to 85	1.46	VQFN	48	49	7 x 7	Real-time clock
MSP430F5507	25.00	32.00	4.00	10-bit SAR	6	31	1	Yes	1	2	0	4	USB		-40 to 85	1.53	VQFN	48	49	7 x 7	Real-time clock
MSP430F5508	25.00	16.00	4.00	10-bit SAR	10	47	2	Yes	2	4	8	4	USB		-40 to 85	1.45	LQFP,NFBGA,VQFN	48,64,80	25,49,81	5 x 5,7 x 7,9 x 9	Real-time clock
MSP430F5509	25.00	24.00	4.00	10-bit SAR	10	47	2	Yes	2	4	8	4	USB		-40 to 85	1.46	LQFP,NFBGA,VQFN	48,64,80	25,49,81	5 x 5,7 x 7,9 x 9	Real-time clock
MSP430F5510	25.00	32.00	4.00	10-bit SAR	10	47	2	Yes	2	4	8	4	USB		-40 to 85	1.70	LQFP,NFBGA,VQFN	48,64,80	25,49,81	5 x 5,7 x 7,9 x 9	Real-time clock
MSP430F5513	25.00	32.00	4.00	Slope	0	47	2	Yes	2	4	8	4	USB		-40 to 85	1.64	VQFN	64	81	9 x 9	Real-time clock
MSP430F5514	25.00	64.00	4.00	Slope	0	47	2	Yes	2	4	8	4	USB		-40 to 85	3.06	VQFN	64	81	9 x 9	Real-time clock
MSP430F5515	25.00	64.00	4.00	Slope	0	63	2	Yes	2	4	12	4	USB		-40 to 85	2.15	LQFP	80	196	14 x 14	Real-time clock
MSP430F5517	25.00	96.00	6.00	Slope	0	63	2	Yes	2	4	12	4	USB		-40 to 85	2.86	LQFP	80	196	14 x 14	Real-time clock
MSP430F5519	25.00	128.00	8.00	Slope	0	63	2	Yes	2	4	12	4	USB		-40 to 85	2.86	LQFP	80	196	14 x 14	Real-time clock
MSP430F5521	25.00	32.00	6.00	12-bit SAR	14	63	2	Yes	2	4	12	4	USB		-40 to 85	2.93	LQFP	80	196	14 x 14	Real-time clock
MSP430F5522	25.00	32.00	8.00	12-bit SAR	10	47	2	Yes	2	4	8	4	USB		-40 to 85	1.64	NFBGA,VQFN	64,80	25,81	5 x 5,9 x 9	Real-time clock
MSP430F5524	25.00	64.00	4.00	12-bit SAR	10	47	2	Yes	2	4	8	4	USB		-40 to 85	3.38	NFBGA,VQFN	64,80	25,81	5 x 5,9 x 9	Real-time clock
MSP430F5525	25.00	64.00	4.00	12-bit SAR	14	63	2	Yes	2	4	12	4	USB		-40 to 85	3.08	LQFP	80	196	14 x 14	Real-time clock
MSP430F5526	25.00	96.00	6.00	12-bit SAR	10	47	2	Yes	2	4	8	4	USB		-40 to 85	2.83	NFBGA,VQFN	64,80	25,81	5 x 5,9 x 9	Real-time clock
MSP430F5527	25.00	96.00	6.00	12-bit SAR	14	63	2	Yes	2	4	12	4	USB		-40 to 85	3.30	LQFP	80	196	14 x 14	Real-time clock
MSP430F5528	25.00	128.00	8.00	12-bit SAR	10	47	2	Yes	2	4	8	4	USB		-40 to 85	3.24	DSBGA,NFBGA,VQFN	64,80	12.96,25,81	3.6 x 3.6,5 x 5,9 x 9	Real-time clock
MSP430F5529	25.00	128.00	8.00	12-bit SAR	14	63	2	Yes	2	4	12	4	USB		-40 to 85	3.77	LQFP	80	196	14 x 14	Real-time clock
MSP430F5630	20.00	128.00	16.00	Slope	0	74	2	Yes	2	4	12	4	USB		-40 to 85	3.83	LQFP	100	256	16 x 16	Real-time clock
MSP430F5631	20.00	192.00	16.00	Slope	0	74	2	Yes	2	4	12	4	USB		-40 to 85	4.56	LQFP	100	256	16 x 16	Real-time clock
MSP430F5632	20.00	256.00	16.00	Slope	0	74	2	Yes	2	4	12	4	USB		-40 to 85	3.79	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	Real-time clock
MSP430F5633	20.00	128.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	3.19	LQFP	100	256	16 x 16	Real-time clock
MSP430F5634	20.00	192.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	4.56	LQFP	100	256	16 x 16	Real-time clock
MSP430F5635	20.00	256.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	3.79	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	Real-time clock
MSP430F5636	20.00	128.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	2.78	JRBGA,LQFP	100,113	49,256	16 x 16,7 x 7	DAC,Real-time clock
MSP430F5637	20.00	192.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	3.50	LQFP	100	256	16 x 16	DAC,Real-time clock
MSP430F5638	20.00	256.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	3.50	JRBGA,LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	DAC,Real-time clock
MSP430F5658	20.00	384.00	32.00	12-bit SAR	12	74	3	Yes	3	6	12	4	USB		-40 to 85	5.38	LQFP	100	256	16 x 16	DAC,Real-time clock
MSP430F5659	20.00	512.00	64.00	12-bit SAR	12	74	3	Yes	3	6	12	4	USB		-40 to 85	5.10	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	DAC,Real-time clock
MSP430F6433	20.00	128.00	10.00	12-bit SAR	12	74	2	No	2	4	12	4	UART		-40 to 85	3.16	JRBGA,LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	LCD,Real-time clock
MSP430F6435	20.00	256.00	18.00	12-bit SAR	12	74	2	No	2	4	12	4	UART		-40 to 85	3.77	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F6436	20.00	128.00	18.00	12-bit SAR	12	74	2	No	2	4	12	4	UART		-40 to 85	2.75	LQFP	100	256	16 x 16	DAC,LCD,Real-time clock
MSP430F6438	20.00	256.00	18.00	12-bit SAR	12	74	2	No	2	4	12	4	UART		-40 to 85	4.43	JRBGA,LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	DAC,LCD,Real-time clock
MSP430F6458	20.00	384.00	34.00	12-bit SAR	12	74	3	No	3	6	12	4	UART		-40 to 85	6.68	LQFP	100	256	16 x 16	DAC,LCD,Real-time clock
MSP430F6459	20.00	512.00	66.00	12-bit SAR	12	74	3	No	3	6	12	4	UART		-40 to 85	5.99	LQFP	100	256	16 x 16	DAC,LCD,Real-time clock
MSP430F6459-HIREL	20.00	512.00	66.00	12-bit SAR	12	74	3	No	3	6	12	4	UART		-40 to 105	12.90	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F6630	20.00	128.00	16.00	Slope	0	74	2	Yes	2	4	12	4	USB		-40 to 85	4.00	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F6631	20.00	192.00	16.00	Slope	0	74	2	Yes	2	4	12	4	USB		-40 to 85	4.73	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F6632	20.00	256.00	16.00	Slope	0	74	2	Yes	2	4	12	4	USB		-40 to 85	3.94	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F6633	20.00	128.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	3.34	LQFP	100	256	16 x 16	LCD,Real-time clock
MSP430F6634	20.00	192.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	3.94	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	LCD,Real-time clock
MSP430F6635	20.00	256.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	3.94	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	LCD,Real-time clock
MSP430F6636	20.00	128.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	2.93	JRBGA,LQFP	100,113	49,256	16 x 16,7 x 7	DAC,LCD,Real-time clock
MSP430F6637	20.00	192.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	4.82	LQFP	100	256	16 x 16	DAC,LCD,Real-time clock
MSP430F6638	20.00	256.00	16.00	12-bit SAR	12	74	2	Yes	2	4	12	4	USB		-40 to 85	5.01	JRBGA,LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	DAC,LCD,Real-time clock
MSP430F6658	20.00	384.00	32.00	12-bit SAR	12	74	3	Yes	3	6	12	4	USB		-40 to 85	5.95	LQFP	100	256	16 x 16	DAC,LCD,Real-time clock
MSP430F6659	20.00	512.00	64.00	12-bit SAR	12	74	3	Yes	3	6	12	4	USB		-40 to 85	7.16	LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	DAC,LCD,Real-time clock
MSP430F6720	25.00	16.00	1.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	2.03	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6720A	25.00	16.00	1.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	1.92	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6721	25.00	32.00	2.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	2.10	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6721A	25.00	32.00	2.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	2.19	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6723	25.00	64.00	4.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	2.30	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6723A	25.00	64.00	4.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	2.51	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6724	25.00	96.00	4.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	2.42	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6724A	25.00	96.00	4.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	2.54	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6725	25.00	128.00	4.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	2.69	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6725A	25.00	128.00	4.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	2.54	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6726	25.00	128.00	8.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	2.69	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6726A	25.00	128.00	8.00	24-bit Sigma Delta	2	72	3	No	1	4	0	4	UART		-40 to 85	2.54	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6730	25.00	16.00	1.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	2.12	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6730A	25.00	16.00	1.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	1.92	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6731	25.00	32.00	2.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	2.32	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6731A	25.00	32.00	2.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	2.19	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6733	25.00	64.00	4.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	2.66	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6733A	25.00	64.00	4.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	2.51	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6734	25.00	96.00	4.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	2.69	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6734A	25.00	96.00	4.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	2.54	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6735	25.00	128.00	4.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	3.23	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6735A	25.00	128.00	4.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	2.54	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6736	25.00	128.00	8.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	2.69	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6736A	25.00	128.00	8.00	24-bit Sigma Delta	3	72	3	No	1	4	0	4	UART		-40 to 85	2.54	LQFP	80,100	196,256	14 x 14,16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6745	25.00	128.00	16.00	24-bit Sigma Delta	4	90	4	No	2	6	0	4	UART		-40 to 85	3.76	LQFP	100,128	256,352	16 x 16,22 x 16	Advanced sensing,LCD,Real-time clock
MSP430F67451	25.00	128.00	16.00	24-bit Sigma Delta	4	90	4	No	2	6	0	4	UART		-40 to 85	3.55	LQFP	100,128	256,352	16 x 16,22 x 16	Advanced sensing,LCD,Real-time clock
MSP430F67451A	25.00	128.00	16.00	24-bit Sigma Delta	4	90	4	No	2	6	0	4	UART		-40 to 85	3.13	LQFP	100,128	256,352	16 x 16,22 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6745A	25.00	128.00	16.00	24-bit Sigma Delta	4	90	4	No	2	6	0	4	UART		-40 to 85	2.96	LQFP	100,128	256,352	16 x 16,22 x 16	Advanced sensing,LCD,Real-time clock
MSP430F6746	25.00	256.00	16.00	24-bit Sigma Delta	4	90	4	No	2	6	0	4	UART		-40 to 85	4.82	LQFP	100,128	256,352	16 x 16,22 x 16	Advanced sensing,LCD,Real-time clock
MSP430F67461	25.00	256.00	16.00	24-bit Sigma Delta	4	90	4	No	2	6	0	4	UART		-40 to 85	4.14	LQFP	100,128	256,352	16 x 16,22 x 16	Advanced sensing,LCD,Real-time clock
